variablegroup,variablenamecv,unitsabbreviation,variablenamelabel
Biological,"Blue-green algae (cyanobacteria), phycocyanin",ug/l,Phycocyanin
Biological,Chlorophyll a,ug/l,Chlorophyll a
Biological,"Chlorophyll a, corrected for pheophytin",ug/l,"Chlorophyll a, corrected for pheophytin"
Biological,"Chlorophyll a, uncorrected for pheophytin",ug/l,"Chlorophyll a, uncorrected for pheophytin"
Biological,"Coliform, fecal",mpn/100ml,Fecal coliform
Biological,Enterococcus,mpn/100ml,Enterococcus
Biological,Escherichia Coli,#/100ml,Escherichia coli
Biological,Microcystin,ng/ml,Microcystin
Biological,Algal Growth,(blank),Algal growth
Biological,Clostridium Perfringens,#/100ml,Clostridium perfringens
Biological,"Coliform, total",mpn/100ml,Total coliform
Biological,Coliphage,pfu/100ml,Coliphage
Biological,Pheophytin-A,ug/l,Pheophytin-A
Biological,"Primary productivity, gross",umol,Gross primary productivity
Biological,"Respiration, ecosystem",umol,Ecosystem respiration
Biological,"Streptococci, fecal",mpn/100ml,Fecal streptococci
Chemical Property,Acid neutralizing capacity,mg/l,Acid neutralizing capacity
Chemical Property,"Alkalinity, total",mg/l,Total alkalinity
Chemical Property,"Oxygen, dissolved",mg/l,Dissolved oxygen
Chemical Property,"Oxygen, dissolved percent of saturation",%,Dissolved oxygen percent saturation
Chemical Property,pH,none,pH
Chemical Property,Salinity,ppt,Salinity
Chemical Property,Specific conductance,us/cm,Specific conductance
Chemical Property,"Alkalinity, bicarbonate",mg/l,Bicarbonate alkalinity
Chemical Property,Bulk electrical conductivity,us/cm,Bulk electrical conductivity
Chemical Property,Carbonate,mg/l,Carbonate
Chemical Property,Electrical conductivity,us/cm,Electrical conductivity
Chemical Property,"Hardness, carbonate",mg/l,Carbonate Hardness
Chemical Property,Hydrogen,mg/l,Hydrogen
Chemical Property,Optical Brighteners,(blank),Optical Brighteners
Chemical Property,Reduction potential,mv,Reduction potential
Metal,Aluminum,ug/l,Aluminum
Metal,Arsenic,mg/l,Arsenic
Metal,Cadmium,mg/l,Cadmium
Metal,Calcium Total,mg/l,Total calcium
Metal,Chromium,mg/l,Chromium
Metal,Copper,mg/l,Copper
